Transaction_ID,Amount,Distance_from_Home,Device_Type,IP_Risk_Score,Is_Night_Transaction,Is_Fraud
161,50.66,0.0123,0,0.9,0,0
162,17.66,0.0123,0,0.84,0,0
163,26.43,0.0123,0,0.84,0,0
164,62.85,0.0123,0,0.85,0,0
165,14.47,0.0123,2,0.71,1,0
166,45.95,0.0123,0,0.97,0,0
167,29.56,0.0123,2,0.71,0,0
168,1803.6,0.0123,0,0.35,0,1
169,10.93,0.0123,0,0.88,0,0
170,3259.16,0.0123,0,0.56,0,1
171,63.24,0.0123,0,0.17,0,0
172,11.82,0.0123,2,0.31,0,0
173,8.52,0.0123,0,0.25,0,0
174,1193.79,0.0123,0,0.45,0,1
175,29.6,0.0123,2,0.86,1,1
176,101.29,0.0123,2,0.07,0,0
177,5.34,0.0123,2,0.53,0,0
178,38.95,0.0123,0,0.5,0,0
179,20.46,0.0123,2,0.26,0,0
180,37.67,0.0123,0,0.17,0,0
181,26.88,0.0123,0,0.02,1,0
182,44.26,0.0123,2,0.44,0,0
183,28.36,0.0123,0,0.78,0,0
184,101.26,0.0123,2,0.73,0,0
185,65.47,4.8088,1,0.43,0,0
186,8.13,0.0123,0,0.66,1,0
187,4129.59,0.0123,2,0.43,0,1
188,47.56,0.0123,0,0.31,0,0
189,30.98,0.0123,0,0.53,0,0
190,37.43,4.8088,0,0.05,0,0
191,9.23,0.0123,2,0.32,1,0
192,65.17,0.0123,2,0.09,1,0
193,303.43,0.0123,2,0.47,0,0
194,29.3,0.0123,2,0.63,1,0
195,69.62,0.0123,1,0.06,0,0
196,22.93,0.0123,0,0.73,0,0
197,12.78,0.0123,2,0.64,0,0
198,33.84,0.0123,2,0.47,0,0
199,4465.26,0.0123,0,0.57,0,1
200,23.66,0.0123,2,0.24,1,0
201,27.25,0.0123,0,0.56,0,0
202,93.18,0.0123,1,0.72,0,0
203,1733.16,0.0123,2,0.16,0,1
204,49.36,0.0123,1,0.41,0,0
205,30.83,0.0123,2,0.86,0,0
206,21.7,0.0123,1,0.48,0,0
207,14.34,0.0123,0,0.83,0,0
208,105.49,0.0123,0,0.26,0,0
209,587.92,0.0123,0,0.14,0,0
210,45.3,0.0123,0,0.77,0,0
211,58.49,0.0123,0,0.18,0,0
212,18.6,0.0123,0,0.72,1,0
213,53.83,0.0123,2,0.99,1,1
214,14.11,0.0123,0,0.48,0,0
215,24.96,0.0123,2,0.53,0,0
216,76.56,0.0123,0,0.68,0,0
217,31.0,0.0123,2,0.24,0,0
218,10.36,0.0123,0,0.56,0,0
219,32.34,0.0123,0,0.14,0,0
220,2499.13,0.0123,2,0.73,0,1
221,25.23,0.0123,2,0.12,0,0
222,25.81,0.0123,0,0.34,0,0
223,882.8,0.0123,0,0.69,1,1
224,26.17,0.0123,0,0.25,1,0
225,15.4,0.0123,0,0.95,0,0
226,449.21,0.0123,0,0.62,0,0
227,7.67,0.0123,2,0.17,0,0
228,76.01,0.0123,0,0.96,0,0
229,34.04,0.0123,2,0.9,0,0
230,13.2,0.0123,2,0.65,1,0
231,2067.02,0.0123,0,0.4,1,1
232,23.42,0.0123,2,0.32,0,0
233,42.94,0.0123,0,0.48,0,0
234,33.35,0.0123,0,0.43,0,0
235,13.42,0.0123,0,0.62,0,0
236,38.97,0.0123,0,0.19,0,0
237,21.31,0.0123,0,0.52,0,0
238,60.94,0.0123,2,0.48,0,0
239,14.42,0.0123,0,0.05,0,0
240,62.46,0.0123,0,0.11,0,0
241,65.48,0.0123,2,0.28,1,0
242,21.83,0.0123,0,0.91,0,0
243,14.88,0.0123,0,0.38,1,0
244,448.49,0.0123,1,0.61,0,0
245,101.7,0.0123,2,0.41,0,0
246,18.16,0.0123,0,0.18,1,0
247,866.13,0.0123,0,0.36,1,1
248,37.79,0.0123,1,0.84,0,0
249,62.55,0.0123,2,0.77,0,0
250,34.69,0.0123,1,0.38,0,0
251,32.76,0.0123,0,0.87,0,0
252,14.3,0.0123,0,0.39,1,0
253,18.17,0.0123,1,0.3,0,0
254,22.98,0.0123,2,0.1,0,0
255,673.97,0.0123,1,0.43,0,0
256,317.37,4.8088,2,0.49,0,0
257,25.45,0.0123,2,0.8,0,0
258,13.66,0.0123,0,0.21,0,0
259,59.01,0.0123,2,0.35,0,0
260,60.79,0.0123,1,0.83,0,0
261,799.12,0.0123,0,0.7,0,0
262,30.9,0.0123,2,0.82,0,0
263,50.31,0.0123,2,0.67,0,0
264,39.2,0.0123,0,0.17,0,0
265,15.51,0.0123,2,0.96,0,0
266,32.59,0.0123,0,0.62,0,0
267,41.82,0.0123,0,0.44,0,0
268,40.78,0.0123,2,0.76,0,0
269,1231.21,0.0123,0,0.93,0,1
270,14.4,0.0123,0,0.99,0,0
271,39.25,0.0123,2,0.05,0,0
272,12.89,0.0123,0,0.22,0,0
273,68.95,0.0123,2,0.77,0,0
274,35.17,0.0123,0,0.89,0,0
275,115.35,0.0123,2,0.82,0,0
276,113.65,0.0123,0,0.21,0,0
277,22.44,0.0123,0,0.34,0,0
278,12.29,0.0123,0,0.79,0,0
279,12.42,0.0123,0,0.51,1,0
280,13.45,0.0123,0,0.1,0,0
281,66.62,0.0123,2,0.04,1,0
282,406.3,0.0123,2,0.34,1,0
283,51.18,0.0123,0,0.91,0,0
284,23.08,4.8088,2,0.01,0,0
285,51.36,0.0123,0,0.21,0,0
286,9.16,0.0123,0,0.17,0,0
287,31.27,0.0123,1,0.48,0,0
288,13.6,0.0123,1,0.38,0,0
289,54.52,0.0123,2,0.67,0,0
290,63.94,0.0123,0,0.97,0,0
291,39.33,0.0123,2,0.27,0,0
292,59.78,0.0123,0,0.43,1,0
293,23.02,0.0123,0,0.92,0,0
294,1210.51,0.0123,0,0.04,0,0
295,47.55,0.0123,1,0.45,0,0
296,18.52,0.0123,0,0.8,0,0
297,23.97,0.0123,2,0.91,1,1
298,30.25,0.0123,2,0.09,0,0
299,9.0,0.0123,2,0.69,0,0
300,52.54,0.0123,0,0.65,0,0
301,21.92,0.0123,2,0.84,0,0
302,28.59,0.0123,2,0.35,1,0
303,12.27,0.0123,2,0.28,0,0
304,50.82,0.0123,2,0.98,0,0
305,10.0,0.0123,0,0.49,0,0
306,15.58,0.0123,0,0.79,0,0
307,194.72,0.0123,2,0.67,0,0
308,14.55,0.0123,0,0.43,0,0
309,29.7,0.0123,2,0.83,0,0
310,8.95,0.0123,0,0.25,0,0
311,20.86,0.0123,0,0.17,0,0
312,41.47,0.0123,2,0.58,0,0
313,77.49,0.0123,0,0.14,0,0
314,13.99,0.0123,1,0.62,0,0
315,32.83,0.0123,0,0.84,0,0
316,18.7,0.0123,2,1.0,0,0
317,61.21,0.0123,0,0.77,0,0
318,4586.46,0.0123,2,0.16,0,1
319,17.28,0.0123,2,0.95,0,0
320,46.69,0.0123,2,0.23,0,0
321,35.79,0.0123,1,0.57,0,0
322,129.26,0.0123,0,0.42,0,0
323,31.07,0.0123,0,0.9,1,1
324,39.5,0.0123,2,0.75,0,0
325,71.48,0.0123,2,0.19,0,0
326,11.34,0.0123,2,0.69,0,0
327,23.23,0.0123,2,0.25,0,0
328,21.32,0.0123,2,0.27,1,0
329,29.33,0.0123,2,0.73,0,0
330,910.26,0.0123,2,0.41,0,0
331,57.03,0.0123,0,0.8,0,0
332,391.47,0.0123,0,0.02,0,0
333,17.99,0.0123,0,0.91,0,0
334,42.07,0.0123,0,0.63,1,0
335,31.31,0.0123,0,0.11,0,0
336,28.65,0.0123,0,0.95,0,0
337,14.27,0.0123,0,0.21,0,0
338,784.09,0.0123,0,0.32,0,0
339,22.82,0.0123,0,0.88,0,0
340,928.38,0.0123,0,0.94,0,1
341,53.45,0.0123,2,0.34,0,0
342,33.57,0.0123,0,0.79,1,0
343,19.37,0.0123,0,0.98,0,0
344,43.98,0.0123,0,0.6,0,0
345,11.68,0.0123,2,0.45,0,0
346,46.42,0.0123,1,0.36,1,0
347,45.5,0.0123,0,0.09,0,0
348,36.23,0.0123,1,0.41,1,0
349,29.19,0.0123,2,0.59,0,0
350,47.43,0.0123,2,0.61,1,0
351,76.43,0.0123,2,0.05,0,0
352,78.64,0.0123,2,0.15,1,0
353,775.98,0.0123,1,0.69,0,0
354,736.24,4.8088,0,0.68,0,1
355,58.91,0.0123,0,0.53,0,0
356,282.3,0.0123,2,0.75,0,0
357,56.84,0.0123,0,0.26,0,0
358,45.51,0.0123,0,0.52,0,0
359,54.97,0.0123,2,0.85,1,1
360,6.75,0.0123,0,0.55,0,0
361,758.89,4.8088,2,0.58,0,1
362,8.21,0.0123,2,0.15,1,0
363,39.63,0.0123,0,0.31,0,0
364,21.28,0.0123,2,0.6,0,0
365,78.21,0.0123,2,0.77,1,0
366,30.06,0.0123,0,0.23,0,0
367,51.12,0.0123,2,0.94,0,0
368,12.6,4.8088,0,0.41,0,0
369,47.16,0.0123,0,0.93,0,0
370,753.75,0.0123,2,0.24,0,1
371,38.74,0.0123,0,0.61,0,0
372,16.41,0.0123,2,0.48,0,0
373,23.85,0.0123,0,0.12,0,0
374,275.58,0.0123,0,0.68,0,0
375,27.94,0.0123,0,0.04,0,0
376,1710.35,0.0123,2,0.98,0,1
377,20.87,0.0123,2,0.4,0,0
378,20.53,0.0123,2,0.62,0,0
379,56.94,0.0123,0,0.99,0,0
380,29.57,0.0123,2,0.05,0,0
381,41.24,0.0123,0,0.27,0,0
382,63.01,0.0123,0,0.94,1,1
383,36.0,0.0123,0,0.45,0,0
384,42.4,0.0123,1,0.79,0,0
385,14.63,0.0123,0,0.15,0,0
386,11.6,0.0123,2,0.87,0,0
387,5.99,0.0123,2,0.7,1,0
388,30.72,0.0123,0,0.68,0,0
389,18.92,0.0123,2,0.75,0,0
390,62.32,0.0123,0,0.43,1,0
391,91.1,0.0123,0,0.6,0,0
392,729.42,0.0123,2,0.74,0,0
393,20.43,0.0123,0,0.31,0,0
394,57.09,4.8088,0,0.48,0,0
395,71.92,0.0123,2,0.65,1,0
396,42.83,0.0123,0,0.36,1,0
397,47.14,0.0123,0,0.82,0,0
398,56.84,0.0123,2,0.39,0,0
399,42.92,0.0123,0,0.1,0,0
400,437.59,0.0123,0,0.82,1,1
401,6.58,0.0123,0,0.79,0,0
402,70.27,4.8088,0,0.6,0,0
403,503.93,0.0123,2,0.05,0,0
404,27.59,0.0123,0,0.35,0,0
405,2915.89,0.0123,0,0.04,1,1
406,32.93,0.0123,2,0.66,1,0
407,68.02,0.0123,2,0.88,0,0
408,14.83,0.0123,2,0.39,1,0
409,36.31,0.0123,2,0.43,0,0
410,26.04,0.0123,1,0.51,1,0
411,509.97,0.0123,1,0.5,0,0
412,48.44,0.0123,0,0.19,0,0
413,19.45,0.0123,2,0.27,0,0
414,23.57,0.0123,0,0.89,0,0
415,14.55,0.0123,0,0.19,0,0
416,6.17,0.0123,0,0.94,0,0
417,11.1,0.0123,2,0.4,0,0
418,19.17,0.0123,1,0.43,0,0
419,1010.03,0.0123,0,0.8,0,1
420,40.73,0.0123,0,0.16,0,0
421,62.28,0.0123,0,0.51,1,0
422,18.51,0.0123,0,0.26,1,0
423,17.3,0.0123,2,0.25,0,0
424,23.78,0.0123,2,0.2,0,0
425,37.33,0.0123,1,0.6,0,0
426,31.63,0.0123,0,0.69,0,0
427,42.28,0.0123,0,0.19,0,0
428,51.8,0.0123,0,0.73,1,0
429,87.46,0.0123,2,0.81,0,0
430,66.36,0.0123,0,0.05,0,0
431,15.17,0.0123,2,0.18,0,0
432,69.06,0.0123,0,0.06,0,0
433,30.09,0.0123,0,0.79,0,0
434,360.43,0.0123,2,0.02,0,0
435,111.19,0.0123,2,0.82,0,0
436,10.09,0.0123,0,0.54,1,0
437,29.75,0.0123,2,0.83,0,0
438,44.14,0.0123,2,0.45,0,0
439,58.66,0.0123,2,0.78,0,0
440,480.44,0.0123,0,0.87,0,1
441,1330.57,0.0123,2,0.42,1,1
442,53.69,0.0123,2,0.65,1,0
443,32.46,0.0123,2,0.33,0,0
444,25.05,0.0123,2,0.36,1,0
445,449.57,0.0123,2,0.24,0,0
446,26.53,0.0123,0,0.41,0,0
447,378.21,0.0123,0,0.01,0,0
448,10.66,0.0123,2,0.02,0,0
449,464.48,0.0123,2,0.71,1,0
450,24.33,0.0123,2,0.27,1,0
451,23.91,0.0123,2,0.57,0,0
452,23.39,0.0123,2,0.65,0,0
453,26.21,0.0123,2,0.77,0,0
454,20.36,0.0123,0,0.56,0,0
455,54.78,0.0123,2,0.26,0,0
456,14.82,0.0123,0,0.39,0,0
457,46.4,0.0123,0,0.16,0,0
458,41.95,0.0123,1,0.39,0,0
459,39.63,0.0123,0,0.97,0,0
460,13.98,0.0123,0,0.19,0,0
461,18.31,4.8088,1,0.83,0,1
462,35.0,0.0123,2,0.98,0,0
463,54.09,0.0123,1,0.11,0,0
464,12.65,0.0123,2,0.87,0,0
465,21.81,4.8088,0,0.66,0,0
466,86.84,0.0123,2,0.82,0,0
467,933.15,0.0123,0,0.23,0,0
468,71.9,0.0123,0,0.8,0,0
469,48.31,0.0123,0,0.65,0,0
470,13.18,0.0123,0,0.28,0,0
471,30.49,0.0123,0,0.68,0,0
472,376.39,0.0123,0,0.4,0,0
473,411.78,0.0123,1,0.64,0,0
474,59.96,0.0123,0,0.88,0,0
475,56.45,0.0123,2,0.66,0,0
476,13.73,0.0123,0,0.12,0,0
477,40.31,0.0123,1,0.89,0,0
478,49.5,0.0123,0,0.24,0,0
479,7.85,0.0123,2,0.12,1,0
480,53.44,0.0123,2,0.59,0,0
481,24.21,0.0123,1,0.62,1,0
482,12.96,0.0123,1,0.92,0,0
483,33.89,0.0123,2,0.3,1,0
484,476.7,0.0123,0,0.66,0,0
485,28.5,0.0123,1,0.07,0,0
486,32.82,0.0123,2,0.6,0,0
487,43.22,0.0123,0,0.02,0,0
488,27.82,0.0123,2,0.14,0,0
489,47.52,0.0123,2,0.98,0,0
490,49.2,0.0123,0,0.55,1,0
491,39.56,0.0123,0,0.29,0,0
492,60.78,0.0123,1,0.28,0,0
493,6.67,4.8088,0,0.39,0,0
494,17.13,0.0123,2,0.1,0,0
495,25.74,0.0123,2,0.57,1,0
496,5.05,0.0123,2,0.78,0,0
497,1600.75,0.0123,0,0.09,0,1
498,50.47,0.0123,2,0.77,0,0
499,605.75,0.0123,0,0.5,0,0
500,33.79,0.0123,0,0.35,1,0
501,31.16,0.0123,2,0.64,0,0
502,19.59,0.0123,0,0.2,0,0
503,37.67,0.0123,2,0.85,0,0
504,43.43,0.0123,0,0.04,0,0
505,12.58,0.0123,2,0.74,1,0
506,30.23,0.0123,0,0.03,0,0
507,26.59,0.0123,0,0.95,0,0
508,15.72,0.0123,0,0.73,0,0
509,35.02,0.0123,2,0.06,0,0
510,298.82,0.0123,1,0.13,0,0
511,40.7,0.0123,2,0.9,0,0
512,18.3,0.0123,0,0.28,0,0
513,738.74,0.0123,2,0.24,0,0
514,84.13,0.0123,2,0.77,0,0
515,2541.58,0.0123,0,0.56,0,1
516,77.74,0.0123,0,0.34,0,0
517,16.47,0.0123,0,0.37,1,0
518,38.13,0.0123,2,0.72,1,0
519,47.51,0.0123,0,0.57,0,0
520,16.27,0.0123,2,0.02,0,0
521,150.26,0.0123,0,0.32,1,0
522,37.61,0.0123,0,0.92,0,0
523,66.11,0.0123,0,0.84,1,1
524,31.55,0.0123,2,0.84,0,0
525,66.09,0.0123,2,0.75,0,0
526,6.95,0.0123,0,0.06,0,0
527,19.49,0.0123,2,0.45,0,0
528,21.0,0.0123,0,0.45,1,0
529,15.37,0.0123,0,0.28,1,0
530,59.93,0.0123,2,0.48,1,0
531,26.84,0.0123,2,0.65,0,0
532,2102.13,0.0123,2,0.6,0,1
533,18.29,0.0123,2,0.27,0,0
534,72.38,0.0123,2,0.9,0,0
535,46.49,0.0123,0,0.99,0,0
536,30.14,0.0123,0,0.06,0,0
537,50.58,0.0123,1,0.95,0,0
538,83.64,0.0123,2,0.63,0,0
539,1876.21,0.0123,0,0.37,0,1
540,78.24,0.0123,2,0.82,1,1
541,83.97,0.0123,2,0.14,0,0
542,35.29,0.0123,2,0.85,0,0
543,2273.59,0.0123,0,0.43,0,1
544,32.75,0.0123,0,0.12,0,0
545,70.2,0.0123,0,0.45,0,0
546,83.88,0.0123,0,0.95,0,0
547,54.35,0.0123,2,0.25,0,0
548,53.76,4.8088,0,0.39,1,1
549,41.17,0.0123,1,0.53,1,0
550,24.75,0.0123,0,0.59,0,0
551,21.33,4.8088,2,0.37,0,0
552,63.19,4.8088,1,0.31,0,0
553,58.06,4.8088,0,0.22,0,0
554,72.36,0.0123,0,0.72,0,0
555,67.41,0.0123,0,0.29,0,0
556,14.05,0.0123,0,0.57,0,0
557,18.94,0.0123,2,0.92,0,0
558,12.08,0.0123,0,0.63,0,0
559,17.41,0.0123,1,0.84,1,1
560,30.31,0.0123,2,0.05,1,0
561,61.67,4.8088,0,0.95,1,1
562,30.35,0.0123,1,0.91,0,0
563,2490.97,0.0123,2,0.69,0,1
564,19.67,0.0123,2,0.5,0,0
565,115.2,0.0123,2,0.75,1,0
566,42.68,0.0123,0,0.94,0,0
567,28.83,0.0123,2,0.89,0,0
568,44.99,0.0123,0,0.55,1,0
569,32.63,0.0123,1,0.56,0,0
570,82.61,0.0123,2,0.29,1,0
571,18.0,0.0123,2,0.33,0,0
572,76.75,0.0123,1,0.74,0,0
573,79.86,0.0123,0,0.91,0,0
574,5.47,0.0123,0,0.33,0,0
575,11.91,0.0123,0,0.64,0,0
576,251.7,0.0123,0,0.15,0,0
577,28.85,0.0123,0,0.84,0,0
578,22.38,0.0123,0,0.29,0,0
579,654.19,0.0123,2,0.19,0,0
580,45.98,0.0123,0,0.56,1,0
581,27.1,0.0123,0,0.64,0,0
582,19.08,0.0123,0,0.28,0,0
583,16.5,0.0123,0,0.31,0,0
584,45.58,0.0123,1,0.22,0,0
585,318.14,0.0123,2,0.57,0,0
586,14.43,0.0123,0,0.01,0,0
587,18.99,4.8088,0,0.62,0,0
588,17.34,0.0123,0,0.91,0,0
589,16.19,0.0123,0,0.1,1,0
590,37.54,0.0123,0,0.17,1,0
591,70.78,0.0123,0,0.17,0,0
592,16.98,4.8088,2,0.96,0,1
593,70.27,0.0123,0,0.74,0,0
594,361.65,0.0123,2,0.27,0,0
595,93.75,0.0123,2,0.2,0,0
596,7.05,0.0123,0,0.29,0,0
597,57.54,0.0123,2,0.49,0,0
598,40.4,0.0123,0,0.95,0,0
599,53.29,0.0123,2,0.06,1,0
600,22.38,0.0123,0,1.0,1,1
601,47.08,0.0123,2,0.38,0,0
602,76.29,0.0123,2,0.1,0,0
603,16.05,0.0123,2,0.69,0,0
604,15.07,0.0123,0,0.22,0,0
605,31.81,0.0123,2,0.2,0,0
606,30.63,0.0123,2,0.54,1,0
607,18.18,0.0123,0,0.85,1,1
608,8.56,0.0123,0,0.64,0,0
609,30.71,0.0123,0,0.23,1,0
610,44.0,0.0123,0,0.79,1,0
611,17.68,0.0123,2,0.36,1,0
612,23.7,0.0123,0,0.59,0,0
613,51.45,0.0123,0,0.54,0,0
614,42.46,0.0123,0,0.14,0,0
615,65.21,0.0123,0,0.7,1,0
616,27.37,0.0123,0,0.57,0,0
617,25.1,0.0123,0,0.51,0,0
618,39.75,0.0123,1,0.56,0,0
619,43.58,0.0123,2,0.23,0,0
620,43.12,0.0123,0,0.37,1,0
621,258.48,0.0123,0,0.73,1,0
622,69.35,0.0123,0,0.9,0,0
623,9.98,0.0123,0,0.16,0,0
624,29.89,0.0123,2,0.2,0,0
625,50.47,0.0123,0,0.14,1,0
626,73.93,0.0123,0,0.75,0,0
627,510.43,0.0123,0,0.94,1,1
628,22.28,0.0123,0,0.72,0,0
629,19.21,0.0123,0,0.3,1,0
630,415.0,0.0123,2,0.92,1,1
631,41.93,0.0123,0,0.66,0,0
632,27.72,0.0123,0,0.2,0,0
633,48.06,0.0123,0,0.92,0,0
634,5.96,0.0123,1,0.79,0,0
635,21.65,0.0123,2,0.86,1,1
636,49.35,0.0123,2,0.38,1,0
637,15.13,0.0123,2,0.66,0,0
638,1359.58,0.0123,0,0.64,0,0
639,52.57,4.8088,0,0.24,0,0
640,49.28,0.0123,2,0.29,0,0
641,1238.54,0.0123,2,0.62,1,1
642,773.97,0.0123,2,0.79,1,1
643,64.41,0.0123,2,0.01,0,0
644,20.92,0.0123,2,0.12,0,0
645,19.66,0.0123,0,0.08,0,0
646,22.56,0.0123,2,0.64,1,0
647,54.6,0.0123,0,0.06,0,0
648,14.53,0.0123,0,0.94,1,1
649,45.99,0.0123,2,0.09,0,0
650,37.96,0.0123,0,0.22,0,0
651,86.82,0.0123,0,0.47,0,0
652,4.51,0.0123,2,0.87,0,0
653,78.84,0.0123,0,0.19,0,0
654,41.19,0.0123,0,0.98,0,0
655,52.64,0.0123,0,0.87,0,0
656,40.18,0.0123,2,0.97,0,0
657,92.12,0.0123,2,0.81,0,0
658,25.82,0.0123,0,0.2,0,0
