Transaction_ID,Timestamp,Customer_ID,Amount,Merchant_Category,Distance_from_Home,Device_Type,IP_Risk_Score,Avg_Spending_Habit,Is_Weekend,Is_Night_Transaction,Is_Fraud
TRX-000049,2025-02-01 05:56:00,CUST-1873,87.11,Groceries,0.0123,iOS,0.59,64.98,1,0,0
TRX-000050,2025-03-26 22:46:00,CUST-1284,17.01,Transport,0.0123,Android,0.8,128.23,0,0,0
TRX-000051,2025-01-13 15:51:00,CUST-1640,59.22,Groceries,0.0123,iOS,0.74,119.29,0,0,0
TRX-000052,2025-02-10 14:55:00,CUST-1988,29.35,Groceries,0.0123,Web_Browser,0.64,113.78,0,0,0
TRX-000053,2025-01-19 22:19:00,CUST-1168,20.45,Transport,0.0123,iOS,0.71,75.59,1,0,0
TRX-000054,2025-03-11 11:14:00,CUST-1537,12.74,Transport,0.0123,Android,0.29,39.66,0,0,0
TRX-000055,2025-02-08 01:27:00,CUST-1805,46.23,Groceries,0.0123,Android,0.51,69.91,1,1,0
TRX-000056,2025-02-25 21:34:00,CUST-1907,69.88,Groceries,0.0123,Android,0.98,172.33,0,0,0
TRX-000057,2025-01-31 10:25:00,CUST-1828,45.89,Food_Dining,0.0123,iOS,0.13,153.66,0,0,0
TRX-000058,2025-02-17 16:38:00,CUST-1003,310.54,Electronics,0.0123,Android,0.95,114.14,0,0,0
TRX-000059,2025-01-07 15:47:00,CUST-1786,33.48,Food_Dining,0.0123,iOS,0.47,87.43,0,0,0
TRX-000060,2025-01-26 05:20:00,CUST-1959,68.65,Groceries,0.0123,iOS,0.14,79.44,1,0,0
TRX-000061,2025-01-25 04:55:00,CUST-1372,39.93,Groceries,0.0123,Android,0.88,106.08,1,1,1
TRX-000062,2025-03-15 17:45:00,CUST-1484,14.14,Food_Dining,0.0123,iOS,0.91,118.0,1,0,0
TRX-000063,2025-02-17 19:06:00,CUST-1789,50.94,Groceries,0.0123,iOS,0.72,133.77,0,0,0
TRX-000064,2025-02-07 03:20:00,CUST-1662,16.06,Food_Dining,0.0123,Android,0.88,82.52,0,1,1
TRX-000065,2025-02-18 12:49:00,CUST-1109,13.29,Food_Dining,0.0123,Web_Browser,0.36,76.63,0,0,0
TRX-000066,2025-01-16 20:51:00,CUST-1319,52.53,Groceries,0.0123,Android,0.84,62.86,0,0,0
TRX-000067,2025-02-21 05:19:00,CUST-1206,102.47,Groceries,0.0123,Android,0.29,116.42,0,0,0
TRX-000068,2025-01-09 05:24:00,CUST-1876,6.48,Transport,0.0123,Android,0.99,72.33,0,0,0
TRX-000069,2025-03-02 04:46:00,CUST-1613,21.55,Food_Dining,0.0123,Android,0.56,67.98,1,1,0
TRX-000070,2025-03-04 03:38:00,CUST-1986,42.9,Food_Dining,0.0123,iOS,0.07,103.35,0,1,0
TRX-000071,2025-02-23 09:59:00,CUST-1401,12.08,Transport,0.0123,Android,0.82,106.11,1,0,0
TRX-000072,2025-03-08 18:11:00,CUST-1482,61.89,Groceries,0.0123,iOS,0.8,75.75,1,0,0
TRX-000073,2025-03-01 18:33:00,CUST-1665,57.58,Online_Services,0.0123,iOS,0.27,116.51,1,0,0
TRX-000074,2025-03-05 09:55:00,CUST-1196,113.11,Online_Services,0.0123,Android,0.1,139.22,0,0,0
TRX-000075,2025-02-28 02:55:00,CUST-1163,870.69,Electronics,4.8088,iOS,0.12,90.38,0,1,1
TRX-000076,2025-03-09 05:31:00,CUST-1329,55.56,Food_Dining,0.0123,iOS,0.4,108.85,1,0,0
TRX-000077,2025-02-15 21:34:00,CUST-1792,27.16,Food_Dining,0.0123,iOS,0.56,111.92,1,0,0
TRX-000078,2025-03-05 03:28:00,CUST-1402,114.98,Online_Services,0.0123,iOS,0.69,99.79,0,1,0
TRX-000079,2025-02-20 05:22:00,CUST-1302,28.15,Food_Dining,0.0123,Android,0.1,94.14,0,0,0
TRX-000080,2025-02-03 18:19:00,CUST-1928,33.59,Food_Dining,0.0123,Android,0.91,60.48,0,0,0
TRX-000081,2025-01-30 22:11:00,CUST-1440,48.28,Groceries,0.0123,iOS,0.53,43.41,0,0,0
TRX-000082,2025-03-21 02:46:00,CUST-1903,17.26,Food_Dining,0.0123,iOS,0.99,85.14,0,1,1
TRX-000083,2025-01-22 00:59:00,CUST-1055,65.84,Groceries,0.0123,iOS,0.86,70.8,0,1,1
TRX-000084,2025-03-17 05:13:00,CUST-1213,15.49,Online_Services,0.0123,iOS,0.63,126.61,0,0,0
TRX-000085,2025-03-09 13:51:00,CUST-1186,2165.79,Luxury_Goods,0.0123,Android,0.09,150.22,1,0,1
TRX-000086,2025-02-06 11:08:00,CUST-1787,57.44,Food_Dining,0.0123,iOS,0.22,140.37,0,0,0
TRX-000087,2025-01-29 18:26:00,CUST-1308,502.6,Electronics,0.0123,Web_Browser,0.89,142.4,0,0,0
TRX-000088,2025-01-12 14:56:00,CUST-1491,426.51,Electronics,0.0123,iOS,0.71,116.09,1,0,0
TRX-000089,2025-02-14 19:59:00,CUST-1283,645.45,Electronics,0.0123,Android,0.04,99.82,0,0,0
TRX-000090,2025-02-24 11:59:00,CUST-1578,663.63,Electronics,4.8088,Android,0.7,54.32,0,0,1
TRX-000091,2025-01-15 01:43:00,CUST-1710,11.26,Groceries,0.0123,iOS,0.1,50.07,0,1,0
TRX-000092,2025-02-09 07:48:00,CUST-1078,19.23,Transport,0.0123,Android,0.11,99.8,1,0,0
TRX-000093,2025-02-02 14:44:00,CUST-1839,21.61,Food_Dining,0.0123,Android,0.63,109.03,1,0,0
TRX-000094,2025-03-28 05:42:00,CUST-1582,12.06,Transport,0.0123,Android,0.36,64.1,0,0,0
TRX-000095,2025-02-01 07:22:00,CUST-1290,56.1,Transport,4.8088,Web_Browser,0.0,102.29,1,0,0
TRX-000096,2025-02-27 00:34:00,CUST-1301,411.21,Electronics,0.0123,iOS,0.89,63.96,0,1,1
TRX-000097,2025-01-20 01:38:00,CUST-1047,44.91,Groceries,0.0123,Android,0.42,143.62,0,1,0
TRX-000098,2025-03-26 05:28:00,CUST-1030,79.18,Groceries,0.0123,Android,0.24,111.85,0,0,0
TRX-000099,2025-01-20 16:04:00,CUST-1235,16.23,Food_Dining,0.0123,iOS,0.81,95.08,0,0,0
TRX-000100,2025-03-03 14:38:00,CUST-1254,74.3,Groceries,0.0123,iOS,0.12,117.78,0,0,0
TRX-000101,2025-03-23 13:43:00,CUST-1539,74.95,Groceries,0.0123,Web_Browser,0.77,81.27,1,0,0
TRX-000102,2025-01-29 07:53:00,CUST-1386,25.17,Groceries,0.0123,Android,0.03,122.12,0,0,0
TRX-000103,2025-03-03 22:19:00,CUST-1023,39.01,Groceries,0.0123,iOS,0.53,88.36,0,0,0
TRX-000104,2025-01-22 13:48:00,CUST-1447,317.88,Electronics,0.0123,iOS,0.47,111.28,0,0,0
TRX-000105,2025-03-14 07:00:00,CUST-1126,34.1,Food_Dining,0.0123,iOS,0.64,106.49,0,0,0
TRX-000106,2025-02-26 08:19:00,CUST-1181,8.78,Food_Dining,0.0123,Android,0.21,77.04,0,0,0
TRX-000107,2025-02-15 05:02:00,CUST-1287,12.06,Transport,0.0123,iOS,0.48,68.84,1,0,0
TRX-000108,2025-03-12 06:41:00,CUST-1696,8.61,Transport,0.0123,Android,0.4,111.22,0,0,0
TRX-000109,2025-01-05 01:04:00,CUST-1737,85.44,Groceries,0.0123,Android,0.13,88.62,1,1,0
TRX-000110,2025-02-14 01:17:00,CUST-1193,30.4,Food_Dining,0.0123,Android,0.92,145.52,0,1,1
TRX-000111,2025-03-12 01:15:00,CUST-1098,26.93,Food_Dining,0.0123,Android,0.59,106.0,0,1,0
TRX-000112,2025-02-07 11:37:00,CUST-1559,49.58,Online_Services,4.8088,Android,0.62,106.34,0,0,0
TRX-000113,2025-03-20 12:30:00,CUST-1358,90.63,Groceries,0.0123,iOS,0.77,61.96,0,0,0
TRX-000114,2025-03-02 18:34:00,CUST-1245,48.69,Online_Services,0.0123,Android,0.46,111.91,1,0,0
TRX-000115,2025-03-28 18:27:00,CUST-1507,16.04,Transport,0.0123,Android,0.64,47.42,0,0,0
TRX-000116,2025-03-20 07:52:00,CUST-1025,9.04,Transport,0.0123,Web_Browser,0.62,128.04,0,0,0
TRX-000117,2025-03-17 10:22:00,CUST-1436,38.98,Food_Dining,0.0123,Android,0.06,152.06,0,0,0
TRX-000118,2025-02-24 11:15:00,CUST-1908,1949.83,Luxury_Goods,0.0123,Android,0.22,66.28,0,0,1
TRX-000119,2025-01-08 03:03:00,CUST-1621,45.57,Groceries,0.0123,iOS,0.98,149.53,0,1,1
TRX-000120,2025-01-04 22:21:00,CUST-1459,63.85,Food_Dining,0.0123,iOS,0.3,120.63,1,0,0
TRX-000121,2025-01-13 15:08:00,CUST-1824,23.54,Food_Dining,0.0123,iOS,0.54,57.59,0,0,0
TRX-000122,2025-03-18 18:46:00,CUST-1128,26.25,Transport,0.0123,iOS,0.43,90.84,0,0,0
TRX-000123,2025-01-07 13:37:00,CUST-1642,2703.64,Luxury_Goods,0.0123,iOS,0.05,118.23,0,0,1
TRX-000124,2025-03-13 22:31:00,CUST-1838,315.48,Electronics,0.0123,Android,0.51,49.42,0,0,0
TRX-000125,2025-03-03 01:30:00,CUST-1982,19.56,Transport,0.0123,Android,0.55,92.79,0,1,0
TRX-000126,2025-01-02 04:14:00,CUST-1147,28.93,Groceries,0.0123,iOS,0.01,108.54,0,1,0
TRX-000127,2025-01-16 15:11:00,CUST-1828,44.79,Online_Services,0.0123,Android,0.11,82.3,0,0,0
TRX-000128,2025-03-25 01:37:00,CUST-1756,26.5,Food_Dining,0.0123,iOS,0.34,108.72,0,1,0
TRX-000129,2025-03-30 16:55:00,CUST-1580,56.94,Online_Services,0.0123,Android,0.47,143.56,1,0,0
TRX-000130,2025-02-16 10:21:00,CUST-1871,22.77,Transport,0.0123,Android,0.44,100.06,1,0,0
TRX-000131,2025-01-07 18:16:00,CUST-1719,119.08,Food_Dining,0.0123,Android,0.65,103.16,0,0,0
TRX-000132,2025-03-03 23:51:00,CUST-1742,36.96,Food_Dining,0.0123,Web_Browser,0.84,124.08,0,0,0
TRX-000133,2025-03-13 05:44:00,CUST-1678,37.11,Groceries,0.0123,Android,0.44,108.94,0,0,0
TRX-000134,2025-02-11 16:43:00,CUST-1166,373.84,Electronics,0.0123,Android,0.39,60.49,0,0,0
TRX-000135,2025-02-04 03:10:00,CUST-1107,12.86,Transport,0.0123,Android,0.48,71.7,0,1,0
TRX-000136,2025-03-28 06:49:00,CUST-1968,59.07,Online_Services,0.0123,Android,0.61,139.71,0,0,0
TRX-000137,2025-02-24 06:41:00,CUST-1554,8.71,Transport,0.0123,Android,0.56,94.51,0,0,0
TRX-000138,2025-02-24 10:11:00,CUST-1189,45.28,Groceries,0.0123,Android,0.36,31.97,0,0,0
TRX-000139,2025-01-06 00:43:00,CUST-1476,14.22,Transport,0.0123,iOS,0.2,91.18,0,1,0
TRX-000140,2025-02-13 12:49:00,CUST-1132,787.96,Electronics,0.0123,Web_Browser,0.86,89.73,0,0,1
TRX-000141,2025-03-12 03:28:00,CUST-1466,13.37,Transport,0.0123,Web_Browser,0.91,121.28,0,1,1
TRX-000142,2025-03-26 02:01:00,CUST-1208,26.94,Food_Dining,0.0123,iOS,0.58,133.23,0,1,0
TRX-000143,2025-01-25 04:28:00,CUST-1411,14.24,Food_Dining,0.0123,Android,0.21,90.13,1,1,0
TRX-000144,2025-02-21 18:10:00,CUST-1985,29.98,Groceries,0.0123,iOS,0.13,89.74,0,0,0
TRX-000145,2025-02-25 23:57:00,CUST-1039,1002.09,Electronics,0.0123,iOS,0.54,98.54,0,0,0
TRX-000146,2025-03-15 09:23:00,CUST-1212,555.83,Electronics,0.0123,iOS,0.49,99.16,1,0,0
TRX-000147,2025-03-31 16:47:00,CUST-1919,23.29,Food_Dining,0.0123,Android,0.68,99.72,0,0,0
TRX-000148,2025-03-18 23:33:00,CUST-1574,313.56,Electronics,0.0123,Android,0.21,92.81,0,0,0
TRX-000149,2025-01-15 08:55:00,CUST-1983,17.75,Transport,0.0123,Android,0.58,153.18,0,0,0
TRX-000150,2025-02-14 00:00:00,CUST-1484,7.98,Transport,0.0123,iOS,0.55,108.93,0,1,0
TRX-000151,2025-01-13 00:38:00,CUST-1896,46.42,Groceries,0.0123,Android,0.53,20.78,0,1,0
TRX-000152,2025-01-24 08:42:00,CUST-1649,40.48,Food_Dining,0.0123,Web_Browser,0.88,119.89,0,0,0
TRX-000153,2025-02-01 11:26:00,CUST-1719,88.0,Groceries,0.0123,Android,0.4,122.87,1,0,0
TRX-000154,2025-02-25 04:09:00,CUST-1028,385.57,Electronics,0.0123,Android,0.73,26.02,0,1,1
TRX-000155,2025-03-29 13:13:00,CUST-1129,54.64,Food_Dining,0.0123,iOS,0.1,84.26,1,0,0
TRX-000156,2025-01-10 05:37:00,CUST-1211,17.83,Transport,4.8088,iOS,0.23,135.87,0,0,0
TRX-000157,2025-03-03 11:41:00,CUST-1723,39.76,Groceries,0.0123,iOS,0.26,102.16,0,0,0
TRX-000158,2025-01-13 07:32:00,CUST-1071,99.68,Groceries,0.0123,Android,0.57,73.42,0,0,0
TRX-000159,2025-01-04 10:57:00,CUST-1308,42.74,Online_Services,0.0123,Web_Browser,0.66,74.32,1,0,0
TRX-000160,2025-03-12 01:16:00,CUST-1697,124.4,Groceries,0.0123,Android,0.81,70.85,0,1,1
TRX-000161,2025-02-25 19:48:00,CUST-1840,52.19,Groceries,0.0123,iOS,0.61,120.08,0,0,0
TRX-000162,2025-02-03 12:12:00,CUST-1347,50.66,Groceries,0.0123,Android,0.9,110.86,0,0,0
TRX-000163,2025-02-28 23:20:00,CUST-1964,17.66,Food_Dining,0.0123,Android,0.84,69.93,0,0,0
TRX-000164,2025-01-14 07:28:00,CUST-1226,26.43,Transport,0.0123,Android,0.84,126.9,0,0,0
TRX-000165,2025-01-15 13:57:00,CUST-1081,62.85,Groceries,0.0123,Android,0.85,54.25,0,0,0
TRX-000166,2025-03-07 04:48:00,CUST-1082,14.47,Food_Dining,0.0123,iOS,0.71,63.6,0,1,0
TRX-000167,2025-03-23 13:01:00,CUST-1989,45.95,Food_Dining,0.0123,Android,0.97,102.56,1,0,0
TRX-000168,2025-02-06 21:21:00,CUST-1608,29.56,Food_Dining,0.0123,iOS,0.71,49.72,0,0,0
TRX-000169,2025-03-12 13:28:00,CUST-1300,1803.6,Luxury_Goods,0.0123,Android,0.35,124.71,0,0,1
TRX-000170,2025-01-13 14:58:00,CUST-1098,10.93,Transport,0.0123,Android,0.88,53.38,0,0,0
TRX-000171,2025-03-01 22:35:00,CUST-1537,3259.16,Luxury_Goods,0.0123,Android,0.56,157.98,1,0,1
TRX-000172,2025-03-26 12:26:00,CUST-1263,63.24,Groceries,0.0123,Android,0.17,52.12,0,0,0
TRX-000173,2025-01-22 17:35:00,CUST-1292,11.82,Transport,0.0123,iOS,0.31,133.15,0,0,0
TRX-000174,2025-02-13 11:36:00,CUST-1575,8.52,Transport,0.0123,Android,0.25,123.79,0,0,0
TRX-000175,2025-02-25 16:38:00,CUST-1704,1193.79,Luxury_Goods,0.0123,Android,0.45,125.99,0,0,1
TRX-000176,2025-03-16 03:49:00,CUST-1295,29.6,Transport,0.0123,iOS,0.86,69.97,1,1,1
TRX-000177,2025-03-29 13:48:00,CUST-1113,101.29,Groceries,0.0123,iOS,0.07,121.69,1,0,0
TRX-000178,2025-03-17 13:11:00,CUST-1114,5.34,Transport,0.0123,iOS,0.53,111.61,0,0,0
TRX-000179,2025-02-22 09:11:00,CUST-1633,38.95,Groceries,0.0123,Android,0.5,124.11,1,0,0
TRX-000180,2025-01-27 16:52:00,CUST-1326,20.46,Food_Dining,0.0123,iOS,0.26,112.38,0,0,0
TRX-000181,2025-03-29 14:06:00,CUST-1308,37.67,Online_Services,0.0123,Android,0.17,132.05,1,0,0
TRX-000182,2025-02-18 03:33:00,CUST-1734,26.88,Food_Dining,0.0123,Android,0.02,109.72,0,1,0
TRX-000183,2025-02-13 16:12:00,CUST-1522,44.26,Groceries,0.0123,iOS,0.44,101.47,0,0,0
TRX-000184,2025-02-04 07:09:00,CUST-1222,28.36,Food_Dining,0.0123,Android,0.78,107.75,0,0,0
TRX-000185,2025-03-14 08:23:00,CUST-1603,101.26,Food_Dining,0.0123,iOS,0.73,108.83,0,0,0
TRX-000186,2025-03-29 07:57:00,CUST-1733,65.47,Groceries,4.8088,Web_Browser,0.43,146.2,1,0,0
TRX-000187,2025-02-22 00:30:00,CUST-1191,8.13,Transport,0.0123,Android,0.66,59.43,1,1,0
TRX-000188,2025-03-30 19:19:00,CUST-1737,4129.59,Luxury_Goods,0.0123,iOS,0.43,123.37,1,0,1
TRX-000189,2025-01-28 19:45:00,CUST-1070,47.56,Transport,0.0123,Android,0.31,139.03,0,0,0
TRX-000190,2025-03-24 10:00:00,CUST-1849,30.98,Groceries,0.0123,Android,0.53,114.51,0,0,0
TRX-000191,2025-02-01 05:11:00,CUST-1623,37.43,Online_Services,4.8088,Android,0.05,69.62,1,0,0
TRX-000192,2025-03-21 02:09:00,CUST-1289,9.23,Transport,0.0123,iOS,0.32,98.43,0,1,0
TRX-000193,2025-02-10 01:08:00,CUST-1236,65.17,Groceries,0.0123,iOS,0.09,137.87,0,1,0
TRX-000194,2025-01-21 22:05:00,CUST-1091,303.43,Electronics,0.0123,iOS,0.47,59.3,0,0,0
TRX-000195,2025-01-02 01:03:00,CUST-1209,29.3,Online_Services,0.0123,iOS,0.63,132.32,0,1,0
TRX-000196,2025-01-27 11:30:00,CUST-1062,69.62,Groceries,0.0123,Web_Browser,0.06,87.41,0,0,0
TRX-000197,2025-02-26 14:50:00,CUST-1644,22.93,Transport,0.0123,Android,0.73,71.49,0,0,0
TRX-000198,2025-03-20 08:19:00,CUST-1462,12.78,Transport,0.0123,iOS,0.64,89.49,0,0,0
TRX-000199,2025-03-06 13:56:00,CUST-1152,33.84,Groceries,0.0123,iOS,0.47,104.6,0,0,0
TRX-000200,2025-02-23 12:58:00,CUST-1963,4465.26,Luxury_Goods,0.0123,Android,0.57,109.33,1,0,1
TRX-000201,2025-02-14 01:35:00,CUST-1990,23.66,Groceries,0.0123,iOS,0.24,93.09,0,1,0
TRX-000202,2025-03-29 08:57:00,CUST-1702,27.25,Online_Services,0.0123,Android,0.56,101.73,1,0,0
TRX-000203,2025-03-30 06:25:00,CUST-1907,93.18,Groceries,0.0123,Web_Browser,0.72,105.75,1,0,0
TRX-000204,2025-02-22 11:52:00,CUST-1931,1733.16,Luxury_Goods,0.0123,iOS,0.16,69.35,1,0,1
TRX-000205,2025-03-25 07:39:00,CUST-1362,49.36,Groceries,0.0123,Web_Browser,0.41,107.4,0,0,0
TRX-000206,2025-01-22 18:38:00,CUST-1928,30.83,Groceries,0.0123,iOS,0.86,124.71,0,0,0
TRX-000207,2025-01-05 15:51:00,CUST-1638,21.7,Transport,0.0123,Web_Browser,0.48,79.2,1,0,0
TRX-000208,2025-01-29 14:36:00,CUST-1029,14.34,Food_Dining,0.0123,Android,0.83,95.8,0,0,0
TRX-000209,2025-02-23 21:50:00,CUST-1412,105.49,Food_Dining,0.0123,Android,0.26,161.62,1,0,0
TRX-000210,2025-02-19 11:21:00,CUST-1056,587.92,Electronics,0.0123,Android,0.14,61.03,0,0,0
TRX-000211,2025-03-11 21:18:00,CUST-1679,45.3,Groceries,0.0123,Android,0.77,117.26,0,0,0
TRX-000212,2025-03-24 14:31:00,CUST-1202,58.49,Groceries,0.0123,Android,0.18,69.51,0,0,0
TRX-000213,2025-02-27 03:09:00,CUST-1573,18.6,Transport,0.0123,Android,0.72,100.85,0,1,0
TRX-000214,2025-03-27 02:36:00,CUST-1574,53.83,Groceries,0.0123,iOS,0.99,155.71,0,1,1
TRX-000215,2025-01-02 07:54:00,CUST-1556,14.11,Transport,0.0123,Android,0.48,62.09,0,0,0
TRX-000216,2025-02-02 06:57:00,CUST-1610,24.96,Transport,0.0123,iOS,0.53,123.93,1,0,0
TRX-000217,2025-01-26 06:43:00,CUST-1498,76.56,Groceries,0.0123,Android,0.68,90.25,1,0,0
TRX-000218,2025-01-29 08:34:00,CUST-1736,31.0,Food_Dining,0.0123,iOS,0.24,122.02,0,0,0
TRX-000219,2025-02-12 05:37:00,CUST-1331,10.36,Transport,0.0123,Android,0.56,104.11,0,0,0
TRX-000220,2025-03-19 12:41:00,CUST-1248,32.34,Groceries,0.0123,Android,0.14,82.84,0,0,0
TRX-000221,2025-03-21 12:54:00,CUST-1475,2499.13,Luxury_Goods,0.0123,iOS,0.73,151.15,0,0,1
TRX-000222,2025-01-13 10:00:00,CUST-1105,25.23,Groceries,0.0123,iOS,0.12,62.2,0,0,0
TRX-000223,2025-02-24 13:37:00,CUST-1473,25.81,Groceries,0.0123,Android,0.34,98.94,0,0,0
TRX-000224,2025-01-24 01:59:00,CUST-1710,882.8,Electronics,0.0123,Android,0.69,90.58,0,1,1
TRX-000225,2025-01-19 00:11:00,CUST-1885,26.17,Food_Dining,0.0123,Android,0.25,98.21,1,1,0
TRX-000226,2025-03-29 08:20:00,CUST-1645,15.4,Food_Dining,0.0123,Android,0.95,48.08,1,0,0
TRX-000227,2025-01-24 08:09:00,CUST-1192,449.21,Electronics,0.0123,Android,0.62,69.23,0,0,0
TRX-000228,2025-02-11 10:25:00,CUST-1116,7.67,Transport,0.0123,iOS,0.17,111.15,0,0,0
TRX-000229,2025-02-09 18:40:00,CUST-1866,76.01,Groceries,0.0123,Android,0.96,85.52,1,0,0
TRX-000230,2025-01-20 09:33:00,CUST-1659,34.04,Groceries,0.0123,iOS,0.9,119.27,0,0,0
TRX-000231,2025-02-26 03:38:00,CUST-1917,13.2,Transport,0.0123,iOS,0.65,141.38,0,1,0
TRX-000232,2025-01-25 04:36:00,CUST-1003,2067.02,Electronics,0.0123,Android,0.4,68.34,1,1,1
